####################### 2 ########################
#WSYS UKJENT
#OPER koe
#RTIM 20160217/0808
#DCHA 22.22.0.1001.1           -9999 3.1001.0       -9999        -9999.000000 -9999        -9999.000000   1440.000    0.00000 UKJENT                        HYDAG              
##################################################
19750824/1200 0.445380
19750825/1200 0.419416
19750826/1200 0.419416
19750827/1200 0.394419
19750828/1200 0.370374
19750829/1200 0.347266
19750830/1200 0.303804
19750831/1200 0.303804
19750901/1200 0.283418
19750902/1200 0.283418
19750903/1200 0.263909
19750904/1200 0.263909
19750905/1200 0.263909
19750906/1200 0.245262
19750907/1200 0.227460
19750908/1200 0.227460
19750909/1200 0.263909
19750910/1200 0.370374
19750911/1200 0.689628
19750912/1200 1.341747
19750913/1200 3.755913
19750914/1200 5.486251
19750915/1200 4.170268
19750916/1200 3.006670
19750917/1200 2.434242
19750918/1200 2.752092
19750919/1200 2.920246
19750920/1200 2.835390
19750921/1200 4.499002
19750922/1200 4.843462
19750923/1200 4.612060
19750924/1200 4.387691
19750925/1200 14.531028
19750926/1200 41.519318
19750927/1200 30.009918
19750928/1200 40.954998
19750929/1200 25.597839
19750930/1200 15.515963
19751001/1200 26.075682
19751002/1200 31.792213
19751003/1200 23.026558
19751004/1200 38.725353
19751005/1200 23.950352
19751006/1200 14.726173
19751007/1200 12.079952
19751008/1200 9.291571
19751009/1200 7.376691
19751010/1200 6.046643
19751011/1200 4.961827
19751012/1200 4.387691
19751013/1200 3.856968
19751014/1200 3.558803
19751015/1200 4.170268
19751016/1200 4.961827
19751017/1200 4.726876
19751018/1200 4.064135
19751019/1200 3.275471
19751020/1200 3.006670
19751021/1200 2.752092
19751022/1200 2.511427
19751023/1200 2.284360
19751024/1200 2.284360
19751025/1200 2.211638
19751026/1200 2.140381
19751027/1200 2.070574
19751028/1200 2.140381
19751029/1200 2.002208
19751030/1200 1.869748
19751031/1200 1.935270
19751101/1200 2.070574
19751102/1200 2.140381
19751103/1200 2.284360
19751104/1200 2.835390
19751105/1200 2.835390
19751106/1200 3.094675
19751107/1200 2.920246
19751108/1200 2.511427
19751109/1200 2.284360
19751110/1200 2.070574
19751111/1200 1.935270
19751112/1200 1.869748
19751113/1200 1.805630
19751114/1200 1.742903
19751115/1200 1.805630
19751116/1200 24.183313
19751117/1200 45.545746
19751118/1200 23.950352
19751119/1200 14.336811
19751120/1200 11.180792
19751121/1200 8.474656
19751122/1200 6.189749
19751123/1200 5.081984
19751124/1200 7.073043
